CAFÉ	C	F	G	G7	Am	Dm	Em	E7	E	Am7	A	A7	D9	D	D7	Dm7	Dsus4	Cmaj7	C7	C9	Csus4	Fmaj7	F9	F6	Fm	G6	G7	Gmaj7	G9	Gsus4	G7sus4	Bm	B7	#Fm	#F7	#Cm	#C7	#Gm	#G7
C	0.50 	0.80 	0.80 	0.80 	0.00 	0.00 	0.60 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.80 	0.00 	0.00 	0.00 	0.00 	0.00 	0.60 	0.00 	0.00 	0.80 	0.00 	0.6	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00
F	0.70 	0.50 	0.00 	0.00 	0.60 	0.00 	0.60 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.80 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00
G	0.70 	0.80 	0.50 	0.00 	0.00 	0.80 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.90 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.80 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00
G7	0.00 	0.00 	0.00 	0.50 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.90 	0.80 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00
Am	0.60 	0.00 	0.60 	0.00 	0.50 	0.00 	0.80 	0.60 	0.80 	0.80 	0.00 	0.00 	0.00 	0.00 	0.00 	0.60 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.6	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00
Dm	0.00 	0.00 	0.00 	0.00 	0.80 	0.50 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00
Em	0.60 	0.00 	0.60 	0.00 	0.60 	0.00 	0.50 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.60 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00
E7	0.00 	0.60 	0.00 	0.00 	0.00 	0.00 	0.00 	0.50 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00
E	0.00 	0.00 	0.00 	0.00 	0.00 	0.70 	0.00 	0.00 	0.50 	0.00 	0.00 	0.00 	0.00 	0.60 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.6	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00
Am7	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.50 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00
A	0.00 	0.00 	0.00 	0.00 	0.60 	0.00 	0.80 	0.60 	0.80 	0.00 	0.50 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00
A7	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.50 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00
